 load, slew_d, slew_clk, process, voltage, temperature, skew_d, setup_skew, hold_skew, ckq_delay, D, Q, D_Q_comparision
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,0.0,0.0,5e-11,1.65e-10,4.49813e-11,1.400000e+00,1.400014e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,0.0,1e-11,4e-11,1.75e-10,4.497958e-11,1.400000e+00,1.400003e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,0.0,2e-11,3e-11,1.85e-10,4.497465e-11,1.400000e+00,1.400004e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,125.0,-3e-11,8e-11,1.35e-10,6.516179e-11,1.400000e+00,1.400000e+00,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,125.0,-2e-11,7e-11,1.45e-10,6.51394e-11,1.400000e+00,1.400000e+00,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,125.0,-1e-11,6e-11,1.55e-10,6.518044e-11,1.400000e+00,1.400000e+00,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,125.0,0.0,5e-11,1.65e-10,6.521435e-11,1.400000e+00,1.400000e+00,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,125.0,1e-11,4e-11,1.75e-10,6.544828e-11,1.400000e+00,1.400000e+00,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,125.0,2e-11,3e-11,1.85e-10,6.677012e-11,1.400000e+00,1.400000e+00,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,0.0,-3e-11,8e-11,1.33e-10,9.656886e-11,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,0.0,-2e-11,7e-11,1.43e-10,9.660904e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,0.0,-1e-11,6e-11,1.53e-10,9.681052e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,0.0,0.0,5e-11,1.63e-10,9.774231e-11,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,0.0,1e-11,4e-11,1.73e-10,1.016028e-10,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,0.0,2e-11,3e-11,1.83e-10,0,1.000000e+00,1.725287e-04,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,125.0,-3e-11,8e-11,1.33e-10,1.471334e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,125.0,-2e-11,7e-11,1.43e-10,1.507721e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,125.0,-1e-11,6e-11,1.53e-10,1.627273e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,125.0,0.0,5e-11,1.63e-10,0,1.000000e+00,1.625561e-04,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,125.0,1e-11,4e-11,1.73e-10,0,1.000000e+00,9.827067e-05,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.000000,125.0,2e-11,3e-11,1.83e-10,0,1.000000e+00,8.207215e-05,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,0.0,-3e-11,8e-11,1.35e-10,5.076864e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,0.0,-2e-11,7e-11,1.45e-10,5.077712e-11,1.400000e+00,1.400005e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,0.0,-1e-11,6e-11,1.55e-10,5.076989e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,0.0,0.0,5e-11,1.65e-10,5.078462e-11,1.400000e+00,1.400002e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,0.0,1e-11,4e-11,1.75e-10,5.078895e-11,1.400000e+00,1.400004e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,0.0,2e-11,3e-11,1.85e-10,5.092365e-11,1.400000e+00,1.400003e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,125.0,-3e-11,8e-11,1.35e-10,7.274092e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,125.0,-2e-11,7e-11,1.45e-10,7.275527e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,125.0,-1e-11,6e-11,1.55e-10,7.276387e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,125.0,0.0,5e-11,1.65e-10,7.291815e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,125.0,1e-11,4e-11,1.75e-10,7.368703e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,sf,1.400000,125.0,2e-11,3e-11,1.85e-10,7.765073e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,0.0,-3e-11,8e-11,1.33e-10,9.995219e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,0.0,-2e-11,7e-11,1.43e-10,9.997148e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,0.0,-1e-11,6e-11,1.53e-10,1.001325e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,0.0,0.0,5e-11,1.63e-10,1.004581e-10,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,0.0,1e-11,4e-11,1.73e-10,1.018e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,0.0,2e-11,3e-11,1.83e-10,1.084558e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,125.0,-3e-11,8e-11,1.33e-10,1.495752e-10,1.000000e+00,9.999999e-01,mismatch 
